carpark_id,carpark_location,carpark_latitude,carpark_longitude
CK76,BLK 810 CHOA CHU KANG AVE 7,39560.1044,18305.5202
CK77,BLK 815 CHOA CHU KANG AVE 7,39838.3954,18361.9468
CK78,817 KEAT HONG LINK,39885.9891,18660.8389
CK8,BLK 201-221 CHOA CHU KANG CENTRAL,40449.7464,18405.5916
CK8A,BLK 203A CHOA CHU KANG AVE 1/CENTRAL,40353.8181,18614.0227
CK9,BLK 223-227 CHOA CHU KANG CENTRAL,40384.5044,18162.1088
CK9A,BLK 228-239 CHOA CHU KANG CENTRAL,40217.8144,18449.8356
CLM,BLK 129A CLARENCE LANE,30541.7316,25894.5957
CLRG,312 CLEMENTI AVE 4,33479.4070,20283.9283
CLTR,BLK 311 CLEMENTI AVE 4,33513.7467,20411.5945
CM1,BLK 10 CANTONMENT CLOSE,28548.6200,28656.4003
CR1,BLK 1/3/15/17 BEACH ROAD,31734.6056,31337.5185
CR1A,BLK 2 BEACH ROAD,31781.8809,31521.2359
CR1B,BLK 3 BEACH ROAD,31819.2245,31565.7734
CR2,BLK 3/4 BEACH ROAD,31890.8184,31599.1055
CR29,BLK 29/30 KELANTAN LANE,32012.4666,30612.5155
CR3,BLK 9 NORTH BRIDGE ROAD,31933.4004,31450.7070
CR30,BLK 639/640 ROWELL COURT,32213.3125,30406.3770
CR31,BLK 632/633/635 VEERASAMY ROAD,32063.9883,30379.3535
CR4,BLK 7 NORTH BRIDGE ROAD,31854.1587,31351.9277
CR5,BLK 18/19 JALAN SULTAN,31730.7441,31218.4922
CR6,BLK 10 NORTH BRIDGE ROAD,31983.7852,31342.5234
CR7,BLK 464/463 CRAWFORD LANE,31981.7441,31229.7422
CSM,BLK 54 CHIN SWEE ROAD MSCP,29983.8819,28873.2635
CTM1,BLK 441 COMMONWEALTH AVE WEST,33003.4096,20293.6227
CVBK,BLK 8C BOON KENG ROAD,33199.2328,31083.7452
CV1,BLK 1/1A TELOK PAKU ROAD,41140.4649,45233.8667
CV2,BLK 3 CHANGI VILLAGE ROAD,41314.4339,45212.8158
CV3,BLK 5 CHANGI VILLAGE ROAD,41323.3393,45045.6516
CV4,BLK 6 CHANGI VILLAGE ROAD,41344.1397,45264.5806
CY,BLK 269/269A/269B CHENG YAN COURT CAR PARK,31442.1456,30264.3593
C10,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",33414.5726,20837.8461
C11,"BLK 321-322,324-326 CLEMENTI AVENUE 5",33130.6004,20523.8542
HG58,DEFU LANE 8,37688.4219,35056.0000
C12,"BLK 301-302,305-308 CLEMENTI AVENUE 4",33782.4237,20519.9139
C13M,BLK 309A CLEMENTI AVE 4,33646.8063,20528.1198
C14M,BLK 318A CLEMENTI AVE 4,33296.1766,20417.4455
C15M,BLK 440 CLEMENTI AVE 3,33166.8296,20278.0675
C16,BLK 430-435 CLEMENTI AVE 3,32955.7857,20116.5191
C17,"BLK 442-444,442A CLEMENTI AVE 3",32905.3373,20273.9935
C18,BLK 426/428 CLEMENTI AVE 3,32729.9597,20215.8784
C18A,BLK 426/427 CLEMENTI AVE 3,32672.9468,20306.3068
C20,BLK 449-451 CLEMENTI AVE 3,32848.9500,20425.9232
C20M,BLK 462A CLEMENTI AVENUE 3,32645.0967,20469.2131
C21L,BLK 454 TO 460 CLEMENTI AVE 3,32590.9865,20624.0039
C21M,BLK 455A CLEMENTI AVE 3,32662.4476,20566.6991
C22M,BLK 109A CLEMENTI ST 11,33777.6046,20977.2537
C24,BLK 110/118 CLEMENTI STREET 13,34048.6484,21096.4707
C25,BLK 101-104 CLEMENTI STREET 14,33849.0783,20848.1597
C26,BLK 105-107 CLEMENTI STREET 12,33870.6421,20945.3775
C27,BLK 108/109 CLEMENTI STREET 11,33832.4370,21010.3372
C28,BLK 201/206 CLEMENTI AVENUE 6,33712.5638,20211.4950
C28M,BLK 208 CLEMENTI AVE 6,33845.6740,20070.9020
C29,BLK 501-505 WEST COAST DRIVE,32767.8945,19754.8437
C29A,BLK 503 WEST COAST DRIVE,32629.2695,19749.6211
C3M,BLK 416A CLEMENTI AVE 1,32458.1382,20967.8189
C3ML,"BLK 419, 420 AND 420A CLEMENTI AVE 1",32522.1809,20852.2200
C30,BLK 507-509 WEST COAST DRIVE,32640.0059,19998.4863
C31,BLK 510/511 WEST COAST ROAD,32541.0547,19907.0039
C32,BLK 514-519 WEST COAST ROAD,32326.8057,19738.0729
C33,BLK 601-613 CLEMENTI WEST STREET 1,31877.1704,20603.5028
C34,BLK 702/703 WEST COAST ROAD,32148.1942,19944.5184
C35,BLK 704-714 CLEMENTI WEST STREET 2,31993.6074,20000.4883
C36,BLK 728/729 CLEMENTI WEST STREET 2,31960.1377,20236.2232
C37,"BLK 720-727,730-731 CLEMENTI WEST STREET 2",31764.2687,20282.3230
C38,BLK 715-717 CLEMENTI WEST STREET 2,31683.3711,20121.5156
C39,CLEMENTI SPORTS COMPLEX,32510.9746,20089.6113
C4M,BLK 413A COMMONWEALTH AVENUE WEST,32642.4126,21009.1656
C41,CLEMENTI WOODS,31374.2132,20797.7690
C5,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",32821.8286,20905.8297
C6,BLK 328-334 CLEMENTI AVE 2,32975.0306,20696.2978
C7,BLK 349-355 CLEMENTI AVE 2,33018.7828,21037.2754
C8,BLK 335/338 CLEMENTI AVE 2,33216.8047,20800.9102
C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,33324.5654,20988.0194
DRM1,BLK 104C DEPOT ROAD,29218.1692,25576.6096
DRM2,BLK 112C DEPOT ROAD,29305.1091,25165.8976
DRM3,108A DEPOT ROAD,29254.1321,25390.1316
DRM4,BLK 105 DEPOT ROAD,29257.6985,25668.1428
DRM5,BLOCK 110 DEPOT ROAD,29308.7018,25346.6693
DRS,BLK 102A/102B DEPOT ROAD,29213.3689,25737.9080
DUXM,BLK 1 CANTONMENT ROAD,28827.1925,28860.8985
DWST,BLK 89A DAWSON ROAD,30843.9601,25624.1711
DWSV,BLK 85 DAWSON ROAD,30853.9755,25362.2059
ECM,BLK 31A EUNOS CRESCENT,33587.8309,35602.0712
EC2,BLK 12-25 EUNOS CRESCENT,33873.7578,35915.3437
EC3,BLK 5-8/11/4A EUNOS CRESCENT,33712.4297,35919.0977
EC4,BLK 1-3/1A EUNOS CRESCENT,33641.6254,35720.6280
EC5,BLK 9-10 EUNOS CRESCENT,33809.3711,35717.5859
EC7,BLK 842-848 SIMS AVENUE,33339.4481,35601.9233
EC7T,BLK 842 TO 848 SIM AVENUE,33420.8287,35625.1072
EC8,BLK 2A EUNOS MRT SIMS AVENUE,33499.0305,35778.0200
EI1,BLK 1001-1085 EUNOS INDUSTRIAL ESTATE,33964.0908,35070.0793
EI3,BLK 410/411/414-417 EUNOS ROAD 5,33456.9535,35240.6635
EPL,BLK 1/7 EVERTON PARK,28847.7781,28733.8679
EPM,BLK 6A EVERTON ROAD,28739.5121,28622.0835
FRM,BLK 808 FRENCH ROAD MSCP,32341.4155,31121.2668
FR2C,BLK 3/4 QUEEN'S ROAD,33394.0586,25150.3008
FR2S,BLK 2/3/4 QUEEN'S ROAD,33354.5073,25091.4622
FR3M,BLK 8A EMPRESS ROAD,33218.9585,24983.1434
FR4M,BLK 6A FARRER ROAD,33238.9594,25130.4814
